date,hour,hourly_PM2_5,hourly_temperature,hourly_humidity
2004-03-11,2,0.9,10.7,59.7
2004-03-11,8,2.0,10.8,57.4
2004-03-10,18,2.6,13.6,48.9
2004-03-11,22,1.5,8.2,63.4
2004-03-11,12,1.6,9.5,66.8
2004-03-11,5,0.7,11.0,56.2
2004-03-10,21,2.2,11.0,60.0
2004-03-11,10,1.7,10.8,58.4
2004-03-11,1,1.0,10.7,60.0
2004-03-10,22,1.6,11.2,59.6
2004-03-11,15,2.2,8.3,79.8
2004-03-10,20,2.2,11.9,54.0
2004-03-11,11,1.5,10.5,57.9
2004-03-11,3,0.6,10.3,60.2
2004-03-24,18,2.7,10.7,68.5
2004-03-10,23,1.2,11.2,59.2
2004-03-11,18,4.8,10.3,64.2
2004-03-10,19,2.0,13.3,47.7
2004-03-11,0,1.2,11.3,56.8
2004-03-11,6,0.7,10.5,58.1
2004-03-11,7,1.1,10.2,59.6
2004-03-11,16,2.2,9.7,71.2
2004-03-11,13,1.9,8.3,76.4
2004-03-11,9,2.2,10.5,60.6
2004-03-12,3,0.8,7.0,62.3
2004-03-11,19,2.11,9.7,69.3
2004-03-12,2,1.4,7.1,61.8
2004-03-12,1,1.9,7.7,59.7
2004-03-12,0,1.7,8.3,58.5
2004-03-11,23,1.0,8.2,60.8
2004-03-11,17,2.9,9.8,67.6
2004-03-11,14,2.9,8.0,81.1
2004-03-11,20,6.1,9.6,67.8
2004-03-11,21,3.9,9.1,64.0
